location name latitude longitude time speed rssi_avg rssi_var cellid cqi ssnr throughput_down throughput_up delayCon delay pdr 
Broadway ram 42.34111443 -71.06332172 1433367907000 11.25 3G 0.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34095383 -71.06345507 1433367909000 10.5 3G -86.0 1.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34074556 -71.06362875 1433367912000 9.5 3G -87.5 0.7500000000000001 -1 -1 2147483647 0.09749758285562438 0.0 2039.0 978.0 100.0
Broadway ram 42.34053176 -71.06375156 1433367915000 8.75 3G -91.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34033592 -71.06389017 1433367918000 8.0 3G -91.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34020427 -71.06407695 1433367936000 2.0 3G -89.46153846153847 0.7100591715976332 -1 -1 2147483647 0.11736821583783646 0.0 2101.0 575.0 100.0
Broadway ram 42.3400345 -71.06429128 1433367941000 6.75 3G -89.4 2.2399999999999998 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33984831 -71.06451498 1433367944000 9.0 3G -87.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33967321 -71.06476802 1433367947000 9.75 3G -87.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33955343 -71.06497144 1433367949000 10.25 3G -87.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33941179 -71.06516148 1433367951000 10.75 3G -87.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.3392692 -71.06535071 1433367953000 10.75 3G -86.33333333333333 0.888888888888889 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33914342 -71.0655697 1433367955000 11.0 3G -85.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33901186 -71.06576462 1433367957000 10.75 3G -81.0 0.0 -1 -1 2147483647 0.10483784191071559 0.0 1268.0 609.0 100.0
Broadway ram 42.33887876 -71.06595294 1433367959000 10.5 3G -79.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33872472 -71.06618835 1433367962000 8.5 3G -79.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33856866 -71.06644141 1433367965000 8.75 3G 0.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.3384047 -71.06669885 1433367968000 9.0 3G -77.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33824594 -71.06691069 1433367971000 8.25 3G -80.0 1.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33807238 -71.06714956 1433367974000 9.5 3G -82.0 1.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33793579 -71.06731867 1433367976000 10.5 3G -83.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33781343 -71.06750319 1433367978000 10.25 3G -83.5 0.7500000000000001 -1 -1 2147483647 0.12201252059117086 0.0 2323.0 515.0 100.0
Broadway ram 42.33768867 -71.06768149 1433367980000 9.75 3G -86.0 1.0 -1 -1 2147483647 NA NA NA NA NA
